number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_size,params_lr,params_n_epochs,params_num_layers,params_seq_len,state
29,0.0,2025-11-24 22:27:47.196966,2025-11-24 22:28:05.786384,0 days 00:00:18.589418,64,False,0.38357181703373655,88,0.00016008379814663967,50,2.0,63,COMPLETE
30,0.48427786939691697,2025-11-24 22:27:53.338608,2025-11-24 22:28:09.694003,0 days 00:00:16.355395,64,False,0.29706922561391513,96,0.00016502339550971985,50,2.0,28,PRUNED
31,0.5821480107194394,2025-11-24 22:27:56.095502,2025-11-24 22:28:41.718805,0 days 00:00:45.623303,64,True,0.31060197096054254,96,0.00015628471650937166,100,2.0,28,COMPLETE
32,0.5205350394125904,2025-11-24 22:28:05.822250,2025-11-24 22:28:52.208362,0 days 00:00:46.386112,64,True,0.31497265246502293,60,0.00044000076523049726,100,2.0,28,COMPLETE
33,0.6,2025-11-24 22:28:09.728382,2025-11-24 22:28:28.147937,0 days 00:00:18.419555,64,False,0.3257157903489403,72,0.00012903326340790359,50,2.0,49,COMPLETE
34,0.6,2025-11-24 22:28:28.172681,2025-11-24 22:28:51.452809,0 days 00:00:23.280128,64,True,0.4203564492539366,60,0.0004436395797780444,50,2.0,49,COMPLETE
35,0.6666666666666666,2025-11-24 22:28:41.747442,2025-11-24 22:29:00.687749,0 days 00:00:18.940307,64,False,0.4210320273538993,60,0.0002652412549327222,50,2.0,49,COMPLETE
36,0.0,2025-11-24 22:28:51.484274,2025-11-24 22:29:09.778216,0 days 00:00:18.293942,64,False,0.46966175719756287,80,0.000262125838134354,50,2.0,56,COMPLETE
37,0.0,2025-11-24 22:28:52.234957,2025-11-24 22:29:14.598791,0 days 00:00:22.363834,48,False,0.4649347227382986,80,0.0002621976356203585,50,2.0,56,COMPLETE
38,0.0,2025-11-24 22:29:00.723173,2025-11-24 22:29:23.421615,0 days 00:00:22.698442,48,False,0.46836624404177885,48,0.00029007212796850146,50,2.0,56,COMPLETE
39,0.4887205387205387,2025-11-24 22:29:09.808428,2025-11-24 22:30:08.015076,0 days 00:00:58.206648,48,False,0.27789756489506223,44,0.0003140979047306981,150,2.0,35,PRUNED
40,0.6666666666666666,2025-11-24 22:29:14.630262,2025-11-24 22:30:15.237649,0 days 00:01:00.607387,48,False,0.2833408325385379,48,0.0003254043111938742,150,1.0,49,COMPLETE
41,0.6668470418470418,2025-11-24 22:29:23.447443,2025-11-24 22:30:45.405204,0 days 00:01:21.957761,32,False,0.21082740518214144,68,0.0010306077326457657,150,1.0,35,COMPLETE
42,0.5333333333333334,2025-11-24 22:30:08.034074,2025-11-24 22:30:35.558963,0 days 00:00:27.524889,64,False,0.22030676310358602,72,0.0011207092084429297,100,1.0,49,PRUNED
43,0.4,2025-11-24 22:30:15.273380,2025-11-24 22:31:36.689811,0 days 00:01:21.416431,32,False,0.21818095176932772,68,0.0010747076989238318,150,1.0,49,COMPLETE
44,0.5065192743764173,2025-11-24 22:30:35.580924,2025-11-24 22:31:57.134241,0 days 00:01:21.553317,32,False,0.20330848208646374,56,0.00021443243523432384,150,1.0,42,COMPLETE
45,0.5260521885521886,2025-11-24 22:30:45.442274,2025-11-24 22:31:55.412300,0 days 00:01:09.970026,32,False,0.20160420729370448,56,0.0010689240858911884,150,1.0,35,PRUNED
46,0.555050505050505,2025-11-24 22:31:36.720033,2025-11-24 22:32:53.396808,0 days 00:01:16.676775,32,False,0.16414568036880517,48,0.0005097841047355971,150,1.0,35,PRUNED
47,0.4251725217411492,2025-11-24 22:31:55.435130,2025-11-24 22:33:14.451330,0 days 00:01:19.016200,48,False,0.1745871537787557,52,0.0004874504151259003,200,1.0,7,PRUNED
48,0.5981294144452038,2025-11-24 22:31:57.164088,2025-11-24 22:34:19.098677,0 days 00:02:21.934589,32,True,0.27215531509040547,36,0.0005356313686290216,200,1.0,21,COMPLETE
49,0.6158601048074732,2025-11-24 22:32:53.429576,2025-11-24 22:37:04.662364,0 days 00:04:11.232788,16,True,0.2683238824600803,40,0.0005423113473193351,200,1.0,21,COMPLETE
50,0.4903296119085592,2025-11-24 22:33:14.481350,2025-11-24 22:35:07.723654,0 days 00:01:53.242304,32,True,0.2789163596322603,64,0.0008951939057501611,200,1.0,21,PRUNED
51,0.4580026455026455,2025-11-24 22:34:19.128138,2025-11-24 22:35:30.129950,0 days 00:01:11.001812,32,False,0.14239084414438322,64,0.000823372711417786,150,1.0,42,PRUNED
52,0.5357684208520329,2025-11-24 22:35:07.747373,2025-11-24 22:37:26.783029,0 days 00:02:19.035656,16,False,0.3412790800974068,44,0.0021384562486738605,150,1.0,14,PRUNED
53,0.5666666666666667,2025-11-24 22:35:30.167119,2025-11-24 22:36:13.243080,0 days 00:00:43.075961,64,False,0.4290363350185583,44,0.00012978168299365613,150,1.0,49,PRUNED
54,0.7333333333333334,2025-11-24 22:36:13.269018,2025-11-24 22:38:45.450906,0 days 00:02:32.181888,16,False,0.3911204979582769,68,0.0003655039003999615,150,1.0,49,COMPLETE
55,0.5075244047108596,2025-11-24 22:37:04.694717,2025-11-24 22:40:51.215251,0 days 00:03:46.520534,16,True,0.23957614780627323,24,0.0003486654449239871,200,1.0,14,PRUNED
56,0.49801972863009647,2025-11-24 22:37:26.811349,2025-11-24 22:41:14.854653,0 days 00:03:48.043304,16,True,0.237033353418169,28,0.00034284170571058565,200,1.0,14,PRUNED
57,0.0,2025-11-24 22:38:45.500961,2025-11-24 22:41:22.043565,0 days 00:02:36.542604,16,False,0.3934092432261659,68,0.0015057327022033272,150,1.0,56,COMPLETE
58,0.0,2025-11-24 22:40:51.240711,2025-11-24 22:41:53.313242,0 days 00:01:02.072531,48,False,0.39777684401872354,68,0.00023076806662995024,150,1.0,56,COMPLETE
59,0.6,2025-11-24 22:41:14.881415,2025-11-24 22:43:39.370788,0 days 00:02:24.489373,16,False,0.39143147013187124,68,0.001481435004910207,150,1.0,49,COMPLETE
60,0.5333333333333333,2025-11-24 22:41:22.081772,2025-11-24 22:42:20.148873,0 days 00:00:58.067101,48,False,0.3676263760213949,60,0.00023253188557899906,150,1.0,49,COMPLETE
61,0.5060941043083901,2025-11-24 22:41:53.344744,2025-11-24 22:42:50.534449,0 days 00:00:57.189705,48,False,0.372543876875138,60,0.00039624451596160403,150,1.0,42,COMPLETE
62,0.47685185185185186,2025-11-24 22:42:20.180349,2025-11-24 22:44:26.499617,0 days 00:02:06.319268,16,False,0.33848044335260397,76,0.0012780196609169304,150,1.0,42,PRUNED
63,0.4619708994708995,2025-11-24 22:42:50.564821,2025-11-24 22:46:20.961776,0 days 00:03:30.396955,16,True,0.34589229822638806,40,0.0005409414803955881,200,1.0,42,PRUNED
64,0.4817176870748299,2025-11-24 22:43:39.402505,2025-11-24 22:47:49.330966,0 days 00:04:09.928461,16,True,0.33231988639655696,40,0.00018143215211988262,200,1.0,42,COMPLETE
65,0.6666666666666666,2025-11-24 22:44:26.521051,2025-11-24 22:48:32.880155,0 days 00:04:06.359104,16,True,0.2933166652469436,40,0.0006138243564631686,200,1.0,49,COMPLETE
