pLLA;pUP;USDT;MERVAL;actividad;prediccion
-0.053519256;0.017168025;-0.000967663;0.00577824;VERDADERO;
-0.014477823;0.003353642;0.001487821;;FALSO;
0;-0.003353642;-7.43E-05;;FALSO;VERDADERO
0;0.016515088;-0.000520247;0.004585007;VERDADERO;FALSO
0.028488538;-0.003253157;0.004291921;-0.002885889;VERDADERO;FALSO
0;0.003253157;0.001763635;-0.001990377;VERDADERO;FALSO
0.033168363;-0.037199687;0.005067161;-0.006772358;VERDADERO;FALSO
0;0;0.003537325;-0.005503589;VERDADERO;
-0.00643411;0.007004902;0.000646592;;FALSO;
-0.040744968;0.006893708;-0.000646592;;FALSO;FALSO
-0.044967146;0;-0.002813078;-0.014079863;VERDADERO;VERDADERO
-0.059121452;0.02004792;-0.000651768;0.003596509;VERDADERO;FALSO
-0.124938737;0.066480057;0.001266429;-0.019509166;VERDADERO;FALSO
0.034762106;0;0.002270308;-0.000563777;VERDADERO;VERDADERO
0.099131473;-0.023014363;-0.001728681;0.006619137;VERDADERO;
-0.036983566;0.005868934;0.000216462;;FALSO;
-0.062147907;-0.008833413;-0.000758089;;FALSO;FALSO
0.081033251;-0.002984854;-0.000325301;-0.009276785;VERDADERO;VERDADERO
-0.028645181;-0.00300551;-0.001630168;0.018420135;VERDADERO;FALSO
-0.009984221;0.00300551;0.00068904;-0.006234563;VERDADERO;VERDADERO
0.009984221;0.002984854;0.001591487;0.003267678;VERDADERO;FALSO
-0.009984221;0.008833413;0.001909307;-0.012182618;VERDADERO;
-0.010219165;0;0.001829366;;FALSO;
0;0;-0.000680628;;FALSO;
-0.010465434;-0.002924553;0.000215051;;FALSO;FALSO
-0.02171925;0.002924553;-0.0037427;-0.011317374;VERDADERO;FALSO
0;0.002904991;-0.005418977;-0.004519905;VERDADERO;VERDADERO
0.010995384;-0.005829544;0.001242513;0.002768332;VERDADERO;
-0.010995384;0.020069983;0.005043032;;FALSO;
0.010995384;0;0.002768621;;FALSO;
0;0;0.002323487;;FALSO;FALSO
0.041392685;-0.00848811;-0.004587408;-0.018698321;VERDADERO;VERDADERO
0;-0.002866641;-0.001913751;0.01880159;VERDADERO;FALSO
0;-0.002885688;0.003460245;-0.008538967;VERDADERO;VERDADERO
-0.03066882;0.011429462;0.001648314;0.003111509;VERDADERO;VERDADERO
0.020684599;-0.005677133;-0.000107308;0.000453292;VERDADERO;
0.009984221;0;0.000679172;;FALSO;
-0.009984221;0.002847843;-0.000357326;;FALSO;FALSO
0;0;0.004869979;-0.009954855;VERDADERO;VERDADERO
-0.042403849;0.005640267;0.002888966;0.007825144;VERDADERO;VERDADERO
0;0.0027929;0.002869875;0.006774997;VERDADERO;VERDADERO
0;-0.0027929;-0.000907909;0.003174304;VERDADERO;VERDADERO
0;0;0.004762773;0.000112051;VERDADERO;
0;0;0.001897465;;FALSO;
0;0;-0.000172155;;FALSO;FALSO
0.042403849;0;0.009503392;-0.006051283;VERDADERO;VERDADERO
0.090807414;-0.05999793;-0.004844932;0.01659596;VERDADERO;
-0.008272526;-0.00322897;0.001258776;;FALSO;FALSO
0.008272526;0.022114314;0.001627589;-0.012630794;VERDADERO;FALSO
0;0;-0.000406326;-0.013064093;VERDADERO;
-0.008272526;0.009143379;0.000440169;;FALSO;
-0.017033339;0.005990364;-0.000169243;;FALSO;VERDADERO
-0.008773924;0;0.009079191;0.012074054;VERDADERO;VERDADERO
0.008773924;0;-0.006884159;0.002318085;VERDADERO;FALSO
-0.026872146;0.002964479;-0.002499835;-0.01012064;VERDADERO;VERDADERO
0;-0.008954843;0.004482688;0.008246059;VERDADERO;VERDADERO
-0.009340026;0;0.005067049;0.001919472;VERDADERO;
0.009340026;0;-0.000829345;;FALSO;
0.009143379;-0.003026455;-0.000132842;;FALSO;FALSO
0;0;-0.002865981;-0.006923279;VERDADERO;FALSO
0;0;-0.008440379;-0.006854512;VERDADERO;VERDADERO
0;0;0.001259566;0.015530208;VERDADERO;VERDADERO
-0.009143379;0;0.001289817;0.01058505;VERDADERO;VERDADERO
0;0;0.006191813;0.012434053;VERDADERO;
0.009143379;0;-0.00147264;;FALSO;
0;0;-0.000167662;;FALSO;VERDADERO
0;0;0.003274432;0.003243782;VERDADERO;VERDADERO
0;0.003026455;-0.002135605;0.01745372;VERDADERO;VERDADERO
0;0;0.007724973;0.000454676;VERDADERO;VERDADERO
