pos_prob_mean;retorno_log_merval;retorno_log_dolar;prediccion
0.10707154173992182;;;0.0
0.025511440820991993;0.0;0.0;0.0
0.025511440820991993;-0.04289102586283278;0.022989518224698635;1.0
0.025511440820991993;0.013519741657409767;0.0;1.0
0.10242561169944932;0.041812049412063956;-0.004270469123452081;1.0
0.0672563754953444;0.019592540569624006;0.004270469123452081;
0.04314240533858538;;;
0.20581831201265333;;;1.0
0.1430177978988065;0.008991513808068063;0.00283688133519977;1.0
0.4518902351458867;0.0003985762538398774;0.005649732542119423;1.0
0.4518902351458867;0.04004267595898092;0.005617992304222774;1.0
0.05255828984081745;0.04153331794285542;0.005586606708639863;1.0
0.5526807222287266;0.03359899844447156;0.022039459566292052;
0.1495645915428477;;;
0.10075997548352783;;;1.0
0.1618162840604782;0.03410443144038666;0.0027210901143606137;1.0
0.6582503033181032;0.039879645445976664;0.02150620522096336;0.0
0.09414893386161162;-0.10239485260348502;-0.0026631174194839957;0.0
0.18590723280794919;-0.0008160628821283211;-0.008032171697264445;1.0
0.03562486980808899;0.05178641200609313;0.00536194314138605;
0.0819913638018382;;;
0.11065401750312624;;;1.0
0.11347476612233247;0.010770280119794862;0.0;1.0
0.10888409323524684;0.0069496966083342215;0.013280407667894067;1.0
0.2455503039062023;0.031108638775377173;0.005263170044274901;1.0
0.02465411089360714;0.005464253501019201;0.0052356140539444596;0.0
0.03005307393946818;-0.027935448987861378;0.002607563407081237;
0.065454444848001;;;
0.02918817661702633;;;0.0
0.02918817661702633;-0.03367173370880394;-0.007843177461025697;1.0
0.02918817661702633;0.03073382152876114;-0.005263170044274901;0.0
0.07405364928910366;-0.009857177656437344;-0.010610179112015672;0.0
0.14135992049705237;-0.008829523053677235;0.0026631174194839957;0.0
0.14135992049705237;-0.03885992553956896;0.002656044058116258;
0.14135992049705237;;;
0.18317732608486567;;;1.0
0.03209153818897903;0.017549904030692787;-0.016043124840575906;1.0
0.03209153818897903;0.013034123336330694;0.010723963362975653;1.0
0.053437858397956006;0.013366293548573438;0.009290046907092453;0.0
