date,pos_prob_mean,retorno_log_merval,retorno_log_dolar
2023-01-01,0.10707154173992182,0.0,0.0
2023-01-02,0.025511440820991993,0.0,0.0
2023-01-03,0.025511440820991993,-0.04289102586283278,0.022989518224698635
2023-01-04,0.025511440820991993,0.013519741657409767,0.0
2023-01-05,0.10242561169944932,0.041812049412063956,-0.004270469123452081
2023-01-06,0.0672563754953444,0.019592540569624006,0.004270469123452081
2023-01-07,0.04314240533858538,0.019592540569624006,0.004270469123452081
2023-01-08,0.20581831201265333,0.019592540569624006,0.004270469123452081
2023-01-09,0.1430177978988065,0.008991513808068063,0.00283688133519977
2023-01-10,0.4518902351458867,0.0003985762538398774,0.005649732542119423
2023-01-11,0.4518902351458867,0.04004267595898092,0.005617992304222774
2023-01-12,0.05255828984081745,0.04153331794285542,0.005586606708639863
2023-01-13,0.5526807222287266,0.03359899844447156,0.022039459566292052
2023-01-14,0.1495645915428477,0.03359899844447156,0.022039459566292052
2023-01-15,0.10075997548352783,0.03359899844447156,0.022039459566292052
2023-01-16,0.1618162840604782,0.03410443144038666,0.0027210901143606137
2023-01-17,0.6582503033181032,0.039879645445976664,0.02150620522096336
2023-01-18,0.09414893386161162,-0.10239485260348502,-0.0026631174194839957
2023-01-19,0.18590723280794919,-0.0008160628821283211,-0.008032171697264445
2023-01-20,0.03562486980808899,0.05178641200609313,0.00536194314138605
2023-01-21,0.0819913638018382,0.05178641200609313,0.00536194314138605
2023-01-22,0.11065401750312624,0.05178641200609313,0.00536194314138605
2023-01-23,0.11347476612233247,0.010770280119794862,0.0
2023-01-24,0.10888409323524684,0.0069496966083342215,0.013280407667894067
2023-01-25,0.2455503039062023,0.031108638775377173,0.005263170044274901
2023-01-26,0.02465411089360714,0.005464253501019201,0.0052356140539444596
2023-01-27,0.03005307393946818,-0.027935448987861378,0.002607563407081237
2023-01-28,0.065454444848001,-0.027935448987861378,0.002607563407081237
2023-01-29,0.02918817661702633,-0.027935448987861378,0.002607563407081237
2023-01-30,0.02918817661702633,-0.03367173370880394,-0.007843177461025697
2023-01-31,0.02918817661702633,0.03073382152876114,-0.005263170044274901
2023-02-01,0.07405364928910366,-0.009857177656437344,-0.010610179112015672
2023-02-02,0.14135992049705237,-0.008829523053677235,0.0026631174194839957
2023-02-03,0.14135992049705237,-0.03885992553956896,0.002656044058116258
2023-02-04,0.14135992049705237,-0.03885992553956896,0.002656044058116258
2023-02-05,0.18317732608486567,-0.03885992553956896,0.002656044058116258
2023-02-06,0.03209153818897903,0.017549904030692787,-0.016043124840575906
2023-02-07,0.03209153818897903,0.013034123336330694,0.010723963362975653
2023-02-08,0.053437858397956006,0.013366293548573438,0.009290046907092453
2023-02-09,0.10620619522788646,-0.007568801131537128,-0.003970885429492199
2023-02-10,0.09554797845582168,0.006660842835239933,-0.005319161477600254
2023-02-11,0.09554797845582168,0.006660842835239933,-0.005319161477600254
2023-02-12,0.09554797845582168,0.006660842835239933,-0.005319161477600254
2023-02-13,0.04579334885056596,0.030456086206358535,0.005319161477600254
2023-02-14,0.04579334885056596,0.0032474984459280876,0.0
2023-02-15,0.19823005891405046,-0.013610528081242634,-0.002656044058116258
2023-02-16,0.16549485859236326,0.00889082165993571,-0.0026631174194839957
2023-02-17,0.024349620565772057,-0.03266815727986305,0.0
2023-02-18,0.024349620565772057,-0.03266815727986305,0.0
2023-02-19,0.1106698253279319,-0.03266815727986305,0.0
2023-02-20,0.11012943985548279,-0.03266815727986305,0.0
2023-02-21,0.11274431984159439,-0.03266815727986305,0.0
2023-02-22,0.09810083914392938,-0.017257942027130824,0.0
2023-02-23,0.21332000568509102,0.013342325889125206,0.005319161477600254
2023-02-24,0.019453147038196523,0.0012854326807083538,0.0
2023-02-25,0.0641304266710694,0.0012854326807083538,0.0
2023-02-26,0.0641304266710694,0.0012854326807083538,0.0
2023-02-27,0.08161465349257924,0.00858481066863348,-0.005319161477600254
2023-02-28,0.08161465349257924,-0.01207827104952841,-0.0053476063265947005
2023-03-01,0.08161465349257924,0.008538600082465209,0.0
2023-03-02,0.08161465349257924,-0.027755524104509988,0.0053476063265947005
2023-03-03,0.11245473713909344,0.012754617110953603,-0.0053476063265947005
2023-03-04,0.09785447090389461,0.012754617110953603,-0.0053476063265947005
2023-03-05,0.15627233581617475,0.012754617110953603,-0.0053476063265947005
2023-03-06,0.09161717859096825,0.028681979912541067,-0.008075414005546122
2023-03-07,0.1335749463664729,-0.026098534452327016,-0.0027063615977427347
2023-03-08,0.14275063931261403,0.017736229778863688,0.017461827163661958
2023-03-09,0.34712401777505875,-0.013473540019775854,-0.012056408596754054
2023-03-10,0.047882808663416654,-0.04602308547604572,0.0
2023-03-11,0.17772652162238955,-0.04602308547604572,0.0
2023-03-12,0.22239819596086569,-0.04602308547604572,0.0
2023-03-13,0.19620741524208793,-0.04849243209057619,0.010723963362975653
2023-03-14,0.14974598399324654,-0.02145591927877355,0.0
2023-03-15,0.12406273237429559,-0.04938821910213065,0.005319161477600254
2023-03-16,0.1414229263152395,0.06264108580231031,0.010554187678690319
2023-03-17,0.10942370444536209,-0.007404645539313748,0.0
2023-03-18,0.012676116079092026,-0.007404645539313748,0.0
2023-03-19,0.012676116079092026,-0.007404645539313748,0.0
2023-03-20,0.12334038331531562,-0.0030758901303631347,0.007843177461025697
2023-03-21,0.12683751461464543,0.034374918042946234,0.020619287202735315
2023-03-22,0.15956711089238523,-0.01708199920614817,-0.007682496172016329
2023-03-23,0.5512584000825882,-0.025386782287968757,-0.005154650588663934
2023-03-24,0.5512584000825882,-0.025386782287968757,-0.005154650588663934
2023-03-25,0.38745224475860596,-0.025386782287968757,-0.005154650588663934
2023-03-26,0.38745224475860596,-0.025386782287968757,-0.005154650588663934
2023-03-27,0.38745224475860596,0.06386933747529433,0.0025806465934916645
2023-03-28,0.38745224475860596,0.036326388513687746,0.01788042527784839
2023-03-29,0.38745224475860596,0.027338983195665634,-0.010178204915756162
2023-03-30,0.38745224475860596,0.010125040815600173,0.0
2023-03-31,0.38745224475860596,-0.023819123290884647,0.005102051883895342
2023-04-01,0.38745224475860596,-0.023819123290884647,0.005102051883895342
2023-04-02,0.38745224475860596,-0.023819123290884647,0.005102051883895342
2023-04-03,0.15647851722314954,0.03589820588099357,-0.007662872745568983
2023-04-04,0.12693343872916346,-0.012679328669264578,0.0
2023-04-05,0.08895131442598843,0.005397197920427033,0.0
2023-04-06,0.10258194215324086,0.005397197920427033,0.0
2023-04-07,0.1667225209530443,0.005397197920427033,0.0
2023-04-08,0.08493126803924414,0.005397197920427033,0.0
2023-04-09,0.1325992874668113,0.005397197920427033,0.0
2023-04-10,0.29806651547551155,0.005397197920427033,-0.002567395505246317
2023-04-11,0.003904234617948532,0.02774684059232868,0.007682496172016329
2023-04-12,0.07368204992656645,0.026147389583433878,0.010152371464018373
2023-04-13,0.12670701061870204,0.012953032945778986,0.005037794029957077
2023-04-14,0.048006439193462334,0.01973524162901441,0.0
2023-04-15,0.13575082789996967,0.01973524162901441,0.0
2023-04-16,0.13823352593595736,0.01973524162901441,0.0
2023-04-17,0.20118036516881765,0.020028963365248842,0.01990115431729489
2023-04-18,0.16171612538910735,0.010622560519587765,0.02433210065953073
2023-04-19,0.0823854714232896,-0.031780128689975484,0.011947573421117852
2023-04-20,0.12028392437272346,0.02305058322808229,0.019988907741929296
2023-04-21,0.1480837843613699,0.0316516707780341,0.023015975700920954
2023-04-22,0.4773031286895275,0.0316516707780341,0.023015975700920954
2023-04-23,0.12367590858290593,0.0316516707780341,0.023015975700920954
2023-04-24,0.11317044859979211,0.028905323024179808,0.0445012246705101
2023-04-25,0.09266339951248553,0.012070256753073494,0.06935551881640212
2023-04-26,0.0659551041899249,0.005721774911391364,-0.04357535853863137
2023-04-27,0.10082897050253879,-0.026557146960755063,-0.014957543819619445
2023-04-28,0.12299637403339148,0.0038704150244619484,0.004296462033505755
2023-04-29,0.09577495312551036,0.0038704150244619484,0.004296462033505755
2023-04-30,0.09577495312551036,0.0038704150244619484,0.004296462033505755
2023-05-01,0.09577495312551036,0.0038704150244619484,0.004296462033505755
2023-05-02,0.09577495312551036,-0.00784719428475178,0.01066108178611369
2023-05-03,0.09577495312551036,-0.02612379749539606,-0.01066108178611369
2023-05-04,0.09577495312551036,-0.02195745692737283,-0.0021459235702767643
2023-05-05,0.09577495312551036,0.05317260760865139,0.0021459235702767643
2023-05-06,0.09577495312551036,0.05317260760865139,0.0021459235702767643
2023-05-07,0.09577495312551036,0.05317260760865139,0.0021459235702767643
2023-05-08,0.09577495312551036,0.024126077087517572,0.002141328441343404
2023-05-09,0.09577495312551036,0.011033012962245792,0.0021367529497346993
2023-05-10,0.06488320856587962,0.00881174123213846,0.002132196969840905
2023-05-11,0.08490924790012053,0.008926311878628468,0.006369448285480139
2023-05-12,0.10110430723871104,0.02599030055178808,-0.002118644860285457
2023-05-13,0.017569375806488097,0.02599030055178808,-0.002118644860285457
2023-05-14,0.24453047127462924,0.02599030055178808,-0.002118644860285457
2023-05-15,0.15734985237941146,-0.002949638729020876,0.01890812633683492
2023-05-16,0.22172724078409373,-0.005602360694192399,0.01035205932103267
2023-05-17,0.22027360694482923,0.027831256201388044,-0.0020618564005587814
2023-05-18,0.07611769883494292,0.01038552582026675,0.0020618564005587814
2023-05-19,0.06377961114048958,0.022294168957353477,-0.004127972838031013
2023-05-20,0.2706485824393375,0.022294168957353477,-0.004127972838031013
2023-05-21,0.2706485824393375,0.022294168957353477,-0.004127972838031013
2023-05-22,0.0023762944620102644,0.0008883550816864982,0.008238975544553107
2023-05-23,0.1592594477115199,0.005316555740149553,0.004094171532663005
2023-05-24,0.10917701549152588,0.0025877178502167197,0.0020408170348531485
2023-05-25,0.1254824978299439,0.0025877178502167197,0.0020408170348531485
2023-05-26,0.0033029948826879263,0.0025877178502167197,0.0020408170348531485
2023-05-27,0.0033029948826879263,0.0025877178502167197,0.0020408170348531485
2023-05-28,0.04252155590802431,0.0025877178502167197,0.0020408170348531485
2023-05-29,0.09916391219943761,0.013662248617407613,-0.0020408170348531485
2023-05-30,0.11840587873336707,-0.008632029022063392,0.0020408170348531485
2023-05-31,0.11840587873336707,-0.0038309472051061277,-0.006134988567516153
2023-06-01,0.04867638398094901,0.032485281615169725,0.0
2023-06-02,0.015780327608808875,-0.001237415404151676,0.0
2023-06-03,0.16683977576238768,-0.001237415404151676,0.0
2023-06-04,0.10056732487383074,-0.001237415404151676,0.0
2023-06-05,0.12766843674458064,0.022106276925748958,-0.007205383721269776
2023-06-06,0.10782763709662467,0.05376815504034127,-0.0031039859375914247
2023-06-07,0.1557941587442266,-0.0008591822007826266,-0.0020746895408603194
2023-06-08,0.11515644905973632,0.0012530556359617862,0.0
2023-06-09,0.12721039794170916,0.0022447404898535694,-0.002079002827833243
2023-06-10,0.06631425092928112,0.0022447404898535694,-0.002079002827833243
2023-06-11,0.1317858129639977,0.0022447404898535694,-0.002079002827833243
2023-06-12,0.10162514418784883,-0.00023839557273497292,0.002079002827833243
2023-06-13,0.058674369123764336,0.0005840991615428948,0.01033067038787916
2023-06-14,0.00643194792792201,-0.008417188473082149,0.014285957247476944
2023-06-15,0.044856864027678967,0.03409949262400325,-0.018405427542715458
2023-06-16,0.11198108643293381,0.04390357216533225,0.01026703063974388
2023-06-17,0.08323776585582111,0.04390357216533225,0.01026703063974388
2023-06-18,0.07824332245132502,0.04390357216533225,0.01026703063974388
2023-06-19,0.07243573851883411,0.04390357216533225,0.01026703063974388
2023-06-20,0.2654561698436737,0.04390357216533225,0.01026703063974388
2023-06-21,0.05439825338544324,0.04883936183747295,0.0
2023-06-22,0.14281723987577216,-0.034846945790883765,0.0020408170348531485
2023-06-23,0.17487427221411572,0.013281322792817463,0.004069181606725536
2023-06-24,0.11474878449729685,0.013281322792817463,0.004069181606725536
2023-06-25,0.09928373731672764,0.013281322792817463,0.004069181606725536
2023-06-26,0.08716351771727204,0.027357026323265643,-0.004069181606725536
2023-06-27,0.16951004466197142,-0.03777626351734931,0.00609757986811843
2023-06-28,0.3032716901041567,-0.01635147369957224,0.0
2023-06-29,0.029757289500493143,0.016570002282660923,-0.0040609192863154675
2023-06-30,0.029757289500493143,0.02329152645072874,0.0
2023-07-01,0.029757289500493143,0.02329152645072874,0.0
2023-07-02,0.029757289500493143,0.02329152645072874,0.0
2023-07-03,0.029757289500493143,0.02396220803737137,0.0020325210249225734
2023-07-04,0.06360599978102578,0.011046841139950914,-0.004069181606725536
2023-07-05,0.06360599978102578,-0.010785778016153102,-0.0020408170348531485
2023-07-06,0.06360599978102578,-0.044920121713515115,-0.0020449904877271052
2023-07-07,0.06360599978102578,0.014342856412184801,0.0020449904877271052
2023-07-08,0.06360599978102578,0.014342856412184801,0.0020449904877271052
2023-07-09,0.06360599978102578,0.014342856412184801,0.0020449904877271052
2023-07-10,0.06360599978102578,-0.006651263218955705,0.0061099986415786844
2023-07-11,0.05364209452219417,0.00472297324571791,0.006072893157899273
2023-07-12,0.08902009669691324,0.020569226779022287,0.006072893157899273
2023-07-13,0.03784607816487551,0.044389800117139444,0.006072893157899273
2023-07-14,0.15285223869917294,-0.017519731063588395,0.04729945676923908
2023-07-15,0.0785269858315587,-0.017519731063588395,0.04729945676923908
2023-07-16,0.0799972452223301,-0.017519731063588395,0.04729945676923908
2023-07-17,0.04691066247011934,0.030084022066255045,-0.003857285399758048
2023-07-18,0.008261328563094139,8.317610136465703e-05,0.0
2023-07-19,0.1858885164062182,-0.008073988358850315,0.009615458699442136
2023-07-20,0.06589401537452691,0.012936501746976248,0.0
2023-07-21,0.1033891173709115,0.02975494219272079,0.005725206478039979
2023-07-22,0.23678209251077958,0.02975494219272079,0.005725206478039979
