"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.11.2024","1.110,00","1.130,00","1.130,00","1.110,00","","-1,33%"
"22.11.2024","1.125,00","1.145,00","1.125,00","1.125,00","","1,35%"
"21.11.2024","1.110,00","1.135,00","1.135,00","1.110,00","","-0,45%"
"20.11.2024","1.115,00","1.135,00","1.135,00","1.115,00","","-0,89%"
"19.11.2024","1.125,00","1.145,00","1.125,00","1.125,00","","-0,44%"
"15.11.2024","1.130,00","1.140,00","1.130,00","1.130,00","","0,00%"
"14.11.2024","1.130,00","1.145,00","1.130,00","1.130,00","","0,89%"
"13.11.2024","1.120,00","1.135,00","1.135,00","1.120,00","","0,45%"
"12.11.2024","1.115,00","1.125,00","1.125,00","1.115,00","","0,00%"
"11.11.2024","1.115,00","1.145,00","1.145,00","1.115,00","","0,00%"
"08.11.2024","1.115,00","1.120,00","1.120,00","1.115,00","","1,36%"
"07.11.2024","1.100,00","1.130,00","1.130,00","1.100,00","","-2,22%"
"06.11.2024","1.125,00","1.170,00","1.125,00","1.125,00","","0,90%"
"05.11.2024","1.115,00","1.160,00","1.160,00","1.115,00","","-3,04%"
"04.11.2024","1.150,00","1.180,00","1.180,00","1.150,00","","-1,71%"
"01.11.2024","1.170,00","1.190,00","1.190,00","1.170,00","","-0,85%"
"31.10.2024","1.180,00","1.190,00","1.180,00","1.180,00","","1,72%"
"30.10.2024","1.160,00","1.180,00","1.180,00","1.160,00","","-1,28%"
"29.10.2024","1.175,00","1.205,00","1.205,00","1.175,00","","-2,08%"
"28.10.2024","1.200,00","1.220,00","1.220,00","1.200,00","","-1,23%"
"25.10.2024","1.215,00","1.225,00","1.215,00","1.215,00","","1,67%"
"24.10.2024","1.195,00","1.215,00","1.215,00","1.195,00","","-2,05%"
"23.10.2024","1.220,00","1.255,00","1.220,00","1.220,00","","-0,41%"
"22.10.2024","1.225,00","1.245,00","1.245,00","1.225,00","","0,41%"
"21.10.2024","1.220,00","1.225,00","1.225,00","1.220,00","","0,41%"
"18.10.2024","1.215,00","1.235,00","1.215,00","1.215,00","","1,25%"
"17.10.2024","1.200,00","1.220,00","1.220,00","1.200,00","","0,00%"
"16.10.2024","1.200,00","1.235,00","1.235,00","1.200,00","","-1,23%"
"15.10.2024","1.215,00","1.200,00","1.215,00","1.200,00","","3,85%"
"14.10.2024","1.170,00","1.175,00","1.175,00","1.170,00","","0,00%"
